Source, Data, Years
Roe gillnet fishery, Catch, 1972 to 2021
Roe seine fishery, Catch, 1972 to 2021
Other fisheries, Catch, 1951 to 2021
Test fishery (seine), Biological: number-at-age, 1975 to 2021
Test fishery (seine), Biological: weight-at-age, 1975 to 2021
Roe seine fishery, Biological: number-at-age, 1972 to 2021
Roe seine fishery, Biological: weight-at-age, 1972 to 2021
Roe gillnet fishery, Biological: number-at-age, 1972 to 2021
Other fisheries, Biological: number-at-age, 1951 to 2021
Other fisheries, Biological: weight-at-age, 1951 to 2021
Surface survey, Abundance: spawn index, 1951 to 1987
Dive survey, Abundance: spawn index, 1988 to 2021
